Date,Distance,Flights Climbed,Steps 
3/9/20,3.988463622,6,8773
3/10/20,3.778570647,5,8679
3/11/20,2.826671148,5,6256
3/12/20,5.399591386,9,11918
3/13/20,2.643356548,3,5937
3/14/20,1.265621272,0,2963
3/15/20,0.533086773,0,1295
3/16/20,0.990099071,0,2340
3/17/20,0.512923278,0,1157
3/18/20,0.569778742,0,1325
3/19/20,0.496860256,0,1172.592583
3/20/20,0.423440189,0,989.4074168
3/21/20,0.557251899,2,1357
3/22/20,0.694139973,0,1620
3/23/20,0.404270311,0,967
3/24/20,0.708754623,7,1657
3/25/20,0.963238727,3,2267
3/26/20,0.444591088,0,1036
3/27/20,0.118675684,0,298
3/28/20,0.097188668,0,244
3/29/20,1.771090712,1,4910.888951
3/30/20,0.053783274,0,139.1110492
3/31/20,0.546806649,0,1294
4/1/20,0.108733745,0,273
4/2/20,0.090614561,0,241
4/3/20,0.172529925,0,412
4/4/20,0.345687435,0,871
4/5/20,0.660107472,0,1610
4/6/20,0.969979072,0,2312
4/7/20,0.109957846,0,286
4/8/20,0.081033017,0,187
4/9/20,0.755407172,0,1816
4/10/20,1.362027012,1,3060
4/11/20,0.308579148,0,755
4/12/20,0.171703502,0,431
4/13/20,0.456123737,0,1150
4/14/20,0.570431182,2,1331
4/15/20,0.588524743,1,1392.735647
4/16/20,1.295205522,0,2965.264353
4/17/20,0.052835192,0,128
4/18/20,0.938568758,0,2276
4/19/20,1.365264356,0,3305
4/20/20,0.101749533,0,243
4/21/20,0.679444544,0,1597
4/22/20,0.100575141,0,264
4/23/20,0.098972003,0,243
4/24/20,1.013220293,0,2468
4/25/20,1.675937525,1,3768
4/26/20,0.678468991,0,1593
4/27/20,0.555387785,1,1284
4/28/20,1.854612811,1,4258
4/29/20,0.14088349,0,357
4/30/20,0.169503848,0,396
5/1/20,1.257773354,0,2971
5/2/20,1.697511533,1,4114
5/3/20,4.236603465,2,9158
5/4/20,0.132308568,0,326
5/5/20,0.121086604,0,292
5/6/20,0.242446612,0,583
5/7/20,0.183372853,0,430
5/8/20,0.440707518,0,1088
5/9/20,0.088023443,0,210
5/10/20,2.001579526,1,4437
5/11/20,0.266282411,0,653
5/12/20,0.076931967,0,184
5/13/20,0.082300614,0,194
5/14/20,2.161551539,1,4862
5/15/20,0.606532848,0,1385
5/16/20,0.461548308,0,1032
5/17/20,0.054618528,0,138
5/18/20,0.219114124,0,522
5/19/20,0.384460998,0,937
5/20/20,1.688762626,1,4281
5/21/20,0.609310377,0,1401
5/22/20,1.03624831,0,2416
5/23/20,0.041656725,0,107
5/24/20,0.301191044,0,740
5/25/20,0.906307166,0,2116
5/26/20,0.889002199,1,2160
5/27/20,1.723676972,3,4277
5/28/20,1.574902569,1,3606
5/29/20,1.038410682,0,2363
5/30/20,0.312593206,0,806
5/31/20,0.370573352,0,901
6/1/20,0.47915343,0,1127
6/2/20,0.052667422,0,143
6/3/20,0.022617911,0,52
6/4/20,0.055904766,0,138
6/5/20,0.203331295,0,502
6/6/20,0.088992782,0,215
6/7/20,0.427727074,0,1000
6/8/20,0.027918208,0,65
6/9/20,0.214764525,0,505
6/10/20,0.085668446,0,204
6/11/20,0.034728436,0,83
6/12/20,0.299003818,0,721
6/13/20,3.012127923,0,8239
6/14/20,0.164004712,0,406
6/15/20,0.051828571,0,133
6/16/20,0.035424372,0,97
6/17/20,0.479474867,0,1137
6/18/20,0.478480673,1,1213
6/19/20,1.578357393,2,3958
6/20/20,2.306194325,3,5432
6/21/20,0.474553607,0,1223
6/22/20,0.094585123,0,220
6/23/20,0.068618021,0,170
6/24/20,1.005384803,0,2638
6/25/20,0.015664768,0,43
6/26/20,0.623999592,0,1470
6/27/20,0.110585431,0,276
6/28/20,0.48505478,0,1108
6/29/20,0.967039986,0,2282
6/30/20,0.960124125,0,2296
7/1/20,0.144711137,0,363
7/2/20,0.259012368,1,613
7/3/20,1.735483526,0,3937
7/4/20,0.401828323,2,968
7/5/20,0.296058518,2,712
7/6/20,0.173816164,0,425
7/7/20,4.696025213,1,10427
7/8/20,0.381503271,0,880
7/9/20,0.328220691,0,759
7/10/20,0.80959074,0,1815
7/11/20,1.537962052,3,3661
7/12/20,0.979367991,0,2389
7/13/20,0.078783653,0,197
7/14/20,0.078379762,0,188
7/15/20,0.295238308,0,725
7/16/20,0.172909482,0,443.6441683
7/17/20,0.128101365,2,309.3558317
7/18/20,1.839153096,5,4803
7/19/20,0.527971938,0,1389
7/20/20,3.587804708,1,10488
7/21/20,0.195899696,0,472
7/22/20,1.313056749,0,3145
7/23/20,0.617729957,0,1419
7/24/20,1.387206289,0,3222.774789
7/25/20,0.738662011,1,1787.225211
7/26/20,0.410794709,0,1008
7/27/20,0.336540851,0,799
7/28/20,1.711299759,0,4417
7/29/20,0.378874871,0,908
7/30/20,0.040128152,0,93
7/31/20,0.277069415,0,656
8/1/20,0.119141712,0,288
8/2/20,0.063441999,0,157
8/3/20,0.14848286,0,363
8/4/20,1.252082256,0,2710
8/5/20,0.092627804,0,214
8/6/20,0.145935238,0,354
8/7/20,0.133066641,0,314
8/8/20,0.349334884,0,826
8/9/20,0.451506949,0,1055
8/10/20,0.387542999,0,923
8/11/20,0.16539037,0,399
8/12/20,0.279726224,0,667.7899505
8/13/20,0.382195653,0,891.2100495
8/14/20,0.23049143,0,569
8/15/20,0.208376829,0,506
8/16/20,0.386302932,0,940
8/17/20,0.849805884,8,2149
8/18/20,1.113739916,3,2738
8/19/20,0.355487626,1,854.8397749
8/20/20,1.496236184,5,3907.160225
8/21/20,1.482547315,6,3677.121215
8/22/20,1.434697486,5,3806.878785
8/23/20,0.400007705,1,994
8/24/20,0.648307633,3,1535
8/25/20,0.640024755,2,1646
8/26/20,1.332654796,2,3498
8/27/20,0.470570618,6,1121
8/28/20,0.102669162,0,246
8/29/20,0.613610266,2,1447
8/30/20,0.158163823,0,389
8/31/20,0.700826891,1,1645
