Date,Texas Covid Cases,Texas Covid Deaths
3/9/20,24,0
3/10/20,31,0
3/11/20,33,0
3/12/20,41,0
3/13/20,58,0
3/14/20,69,0
3/15/20,80,0
3/16/20,87,1
3/17/20,106,1
3/18/20,166,2
3/19/20,248,4
3/20/20,386,5
3/21/20,547,5
3/22/20,639,7
3/23/20,728,7
3/24/20,857,11
3/25/20,1132,13
3/26/20,1542,21
3/27/20,1971,25
3/28/20,2381,30
3/29/20,2722,35
3/30/20,3065,46
3/31/20,3588,57
4/1/20,4402,65
4/2/20,4952,80
4/3/20,5773,98
4/4/20,6566,124
4/5/20,7117,136
4/6/20,8150,159
4/7/20,8968,177
4/8/20,9897,195
4/9/20,11372,228
4/10/20,12291,249
4/11/20,13208,265
4/12/20,13776,288
4/13/20,14487,320
4/14/20,15303,365
4/15/20,16106,395
4/16/20,16928,428
4/17/20,18131,461
4/18/20,18927,487
4/19/20,19441,503
4/20/20,20035,523
4/21/20,20949,552
4/22/20,21769,571
4/23/20,22706,601
4/24/20,23650,625
4/25/20,24494,662
4/26/20,25209,676
4/27/20,25963,699
4/28/20,26868,738
4/29/20,27839,776
4/30/20,29072,828
5/1/20,30342,853
5/2/20,31433,875
5/3/20,32299,890
5/4/20,33134,914
5/5/20,34286,955
5/6/20,35441,985
5/7/20,36682,1016
5/8/20,37943,1059
5/9/20,38849,1086
5/10/20,40037,1110
5/11/20,40988,1137
5/12/20,42348,1169
5/13/20,43822,1205
5/14/20,45169,1256
5/15/20,46987,1300
5/16/20,47866,1330
5/17/20,48828,1356
5/18/20,49788,1362
5/19/20,51080,1405
5/20/20,52369,1443
5/21/20,53441,1480
5/22/20,54369,1498
5/23/20,55451,1522
5/24/20,56050,1533
5/25/20,56490,1536
5/26/20,57573,1552
5/27/20,59105,1598
5/28/20,60820,1618
5/29/20,62073,1645
5/30/20,63396,1676
5/31/20,64974,1683
6/1/20,66081,1695
6/2/20,67966,1732
6/3/20,69546,1766
6/4/20,71330,1793
6/5/20,73323,1821
6/6/20,75077,1840
6/7/20,75948,1846
6/8/20,77326,1856
6/9/20,79271,1886
6/10/20,81771,1916
6/11/20,83772,1942
6/12/20,86031,1965
6/13/20,88120,1989
6/14/20,89542,1995
6/15/20,91726,2018
6/16/20,95973,2057
6/17/20,99466,2099
6/18/20,102677,2137
6/19/20,107322,2168
6/20/20,111594,2186
6/21/20,114886,2195
6/22/20,119646,2213
6/23/20,124726,2246
6/24/20,131310,2292
6/25/20,136783,2321
6/26/20,142582,2362
6/27/20,148639,2398
6/28/20,152866,2408
6/29/20,158756,2430
6/30/20,166703,2482
7/1/20,174826,2518
7/2/20,182260,2562
7/3/20,190049,2609
7/4/20,195707,2646
7/5/20,200137,2666
7/6/20,209350,2726
7/7/20,219164,2816
7/8/20,229116,2935
7/9/20,240025,3037
7/10/20,249948,3129
7/11/20,258280,3206
7/12/20,264811,3246
7/13/20,273732,3313
7/14/20,284638,3449
7/15/20,296478,3590
7/16/20,311516,3744
7/17/20,321254,3889
7/18/20,330059,3972
7/19/20,338036,4033
7/20/20,345672,4160
7/21/20,355594,4319
7/22/20,366561,4522
7/23/20,376104,4714
7/24/20,383662,4876
7/25/20,391609,5002
7/26/20,395738,5090
7/27/20,402295,6292
7/28/20,412849,6518
7/29/20,421891,6834
7/30/20,432134,6987
7/31/20,443090,7273
8/1/20,448224,7477
8/2/20,454759,7520
8/3/20,463541,7697
8/4/20,473105,7951
8/5/20,482467,8152
8/6/20,490102,8400
8/7/20,498266,8680
8/8/20,504605,8885
8/9/20,510392,8984
8/10/20,517182,9064
8/11/20,524898,9311
8/12/20,531825,9645
